# run 2 computed 2026-09-07 19:06:46+00:00 · scoring: party_size=2 service=dinner grid=30min min_nights=2
rank,venue_id,name,neighborhood,cuisine,price,score,days_scored,taken_total,boxes_total,far_out_open_boxes,excluded,reason,evidence,rating_tier,rating_avg,rating_count,url,taken_over_boxes_2026-09-08,taken_over_boxes_2026-09-09,taken_over_boxes_2026-09-10,taken_over_boxes_2026-09-11,taken_over_boxes_2026-09-12,taken_over_boxes_2026-09-13,taken_over_boxes_2026-09-14,open_times_2026-09-08,open_times_2026-09-09,open_times_2026-09-10,open_times_2026-09-11,open_times_2026-09-12,open_times_2026-09-13,open_times_2026-09-14
1,544,Restaurant Chez Panisse,Berkeley,Californian,$$$$,0.8958,6,43,48,0,0,,,A,4.76415,9786,https://resy.com/cities/san-francisco-ca/venues/chez-panisse,5/8,7/8,7/8,8/8,8/8,,8/8,17:00 17:30 20:30,19:30,20:00,,,,
2,6291,Flour + Water,Mission Gulch,Italian,$$,0.8857,7,62,70,3,0,,,A,4.71112,3479,https://resy.com/cities/san-francisco-ca/venues/flour-and-water,8/10,8/10,9/10,9/10,10/10,9/10,9/10,17:00 21:00,20:30 21:00,21:00,21:00,,21:00,21:00
3,339,Izakaya Rintaro,The Mission,Japanese,$$$,0.8788,6,58,66,5,0,,,A,4.76768,21080,https://resy.com/cities/san-francisco-ca/venues/izakaya-rintaro,,7/11,9/11,11/11,11/11,9/11,11/11,,18:30 20:30 21:30 22:00,21:30 22:00,,,21:30 22:00,
4,73535,7 Adams,Japantown,Californian,$$,0.8669,7,55,63,6,0,,,B,4.5921,3773,https://resy.com/cities/san-francisco-ca/venues/7-adams,7/8,8/8,7/8,9/11,11/11,9/9,4/8,17:30,,20:00,21:00 21:30,,,17:30 18:30 20:00 20:30
5,92229,Octavia,San Francisco,New American,$$,0.86,5,41,48,0,0,,,A,4.84416,77,https://resy.com/cities/san-francisco-ca/venues/octavia,9/10,5/10,9/10,8/8,10/10,,,21:30,19:30 20:00 20:30 21:00 21:30,21:30,,,,
6,93096,Mister Jiu's,Chinatown,Chinese,$$$,0.8511,5,41,48,0,0,,,B,4.58301,777,https://resy.com/cities/san-francisco-ca/venues/mister-jius,6/9,8/9,7/10,10/10,10/10,,,19:30 20:00 21:00,17:00,19:00 19:30 20:30,,,,
7,2436,Utzutzu,Alameda,Sushi,$$$,0.7667,5,23,30,0,0,,,S,4.88953,1901,https://resy.com/cities/san-francisco-ca/venues/utzutzu,,4/6,5/6,5/6,5/6,4/6,,,17:30 20:00,17:30,17:30,17:30,17:30 20:00,
8,547,Café Chez Panisse,Berkeley,American,$$$,0.7424,6,49,66,3,0,,,A,4.79306,31254,https://resy.com/cities/san-francisco-ca/venues/chez-panisse-cafe,8/11,8/11,7/11,9/11,9/11,,8/11,17:00 21:00 21:30,20:30 21:00 21:30,18:00 20:30 21:00 21:30,21:00 21:30,21:00 21:30,,20:30 21:00 21:30
9,54469,Penny Roma,Mission District,Italian,$$,0.6929,7,47,68,8,0,,,B,4.64506,5970,https://resy.com/cities/san-francisco-ca/venues/penny-roma,7/10,6/10,7/10,8/10,8/10,6/8,5/10,17:30 21:00 21:30,17:30 20:30 21:00 21:30,17:30 21:00 21:30,21:00 21:30,21:00 21:30,19:30 20:30,17:30 19:00 20:30 21:00 21:30
10,82961,mijoté,Mission District,French,$$$,0.6222,5,28,45,,0,,,B,4.69849,1194,https://resy.com/cities/san-francisco-ca/venues/mijote,,,5/9,7/9,9/9,6/9,1/9,,,19:00 20:00 20:30 21:00,17:00 21:00,,20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 20:00 20:30 21:00
11,984,Kin Khao,Union Square,Thai,$$,0.6214,7,38,60,5,0,,,C,4.51183,14618,https://resy.com/cities/san-francisco-ca/venues/kin-khao,4/8,4/8,7/8,8/10,8/10,4/8,3/8,17:30 18:00 19:30 20:30,17:30 19:00 19:30 20:30,17:30,21:00 21:30,21:00 21:30,17:30 19:00 19:30 20:30,17:30 18:00 19:00 19:30 20:30
12,98460,SAAM,China Basin,Thai,$,0.6042,6,29,48,7,0,,,C,4.52995,217,https://resy.com/cities/san-francisco-ca/venues/saam-ca,5/8,2/8,4/8,7/8,8/8,,3/8,17:00 20:00 20:30,17:00 17:30 19:00 19:30 20:00 20:30,17:00 17:30 18:30 20:00,17:00,,,17:00 17:30 18:30 19:00 20:30
13,76035,Doma Sushi Bar,Bernal Heights,Japanese,$$,0.6,5,15,25,0,0,,,A,4.77622,143,https://resy.com/cities/san-francisco-ca/venues/doma-sushi-bar,3/5,3/5,3/5,3/5,3/5,,,17:30 19:30,17:30 19:30,17:30 19:30,17:30 19:30,17:30 19:30,,
14,60292,Azalina's,Tenderloin,Malaysian,$$,0.5625,4,18,32,0,0,,,A,4.76503,915,https://resy.com/cities/san-francisco-ca/venues/azalinas,,8/8,2/8,8/8,0/8,,,,,17:00 17:30 18:00 18:30 19:00 19:30,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,,
15,6707,Nari,Japantown,Thai,$$,0.5595,7,33,58,6,0,,,C,4.47699,7193,https://resy.com/cities/san-francisco-ca/venues/nari,5/8,4/8,4/8,7/9,8/9,3/8,2/8,17:30 20:00 21:00,19:00 19:30 20:00 21:00,17:30 18:00 19:30 21:00,17:30 21:00,21:00,17:30 18:00 19:30 20:00 21:00,17:30 18:00 19:00 19:30 20:00 21:00
16,96916,Zentarou Sushi and Sake Bar,San Francisco,Japanese,$$$,0.5354,5,25,47,5,0,,,S,4.88764,178,https://resy.com/cities/san-francisco-ca/venues/zentarou-sushi-and-sake-bar,4/9,4/9,5/9,5/11,,,7/9,17:00 17:30 18:30 19:00 20:00,17:00 17:30 18:30 19:00 20:00,17:00 17:30 19:00 20:00,17:00 17:30 18:30 19:00 20:30 21:00,,,17:00 17:30
17,74314,Popi's Oysterette,Marina District,Seafood,$,0.5,7,28,56,4,0,,,B,4.63658,421,https://resy.com/cities/san-francisco-ca/venues/popis-oysterette,4/8,4/8,4/8,4/8,4/8,4/8,4/8,17:30 18:30 19:30 20:30,17:30 18:30 19:30 20:30,17:30 18:30 19:30 20:30,17:30 18:30 19:30 20:30,17:30 18:30 19:30 20:30,17:30 18:30 19:30 20:30,17:30 18:30 19:30 20:30
