resy_id,name,neighborhood,cuisine,price,rating_avg,rating_count,phone,lat,lng,locality,location_code,max_party_size,global_dining_access,collections,url_slug,url,source_strategy
10600,1601 Bar & Kitchen,Soma,Californian,$$,4.85,74,+14155521601,37.771565,-122.416852,San Francisco,sf,6,False,Book Tonight,1601-bar-and-kitchen,https://resy.com/cities/san-francisco-ca/venues/1601-bar-and-kitchen,location
73271,Angie's Pizza,Mission District,Pizza,$$,4.79,881,+14158292040,37.76486,-122.4248697,San Francisco,sf,8,False,Good for Groups,angies-pizza,https://resy.com/cities/san-francisco-ca/venues/angies-pizza,location
60292,Azalina's,Tenderloin,Malaysian,$$,4.77,915,,37.78458,-122.41415,San Francisco,sf,6,False,Women-Operated; Critically Acclaimed; Tasting Menus Under $125; Date Night; Seasonal Picks,azalinas,https://resy.com/cities/san-francisco-ca/venues/azalinas,location
95269,Bar Esper,Union Square & The Tenderloin,Portuguese-Japanese,$$,4.75,72,+14157757979,37.78647687450336,-122.4116763613974,San Francisco,sf,6,False,New on Resy,bar-esper,https://resy.com/cities/san-francisco-ca/venues/bar-esper,location
73390,Barberio Osteria,The Mission,Italian,$$,4.7,844,+14158749583,37.76402,-122.4216435,San Francisco,sf,8,False,Women-Operated; Critically Acclaimed; Pasta Picks; Date Night,barberio-osteria,https://resy.com/cities/san-francisco-ca/venues/barberio-osteria,location
13912,Basil Thai Restaurant & Bar,SOMA,Thai,$,4.63,522,+14155528999,37.775381,-122.409193,San Francisco,sf,10,False,Good for Groups,basil-thai-restaurant-and-bar,https://resy.com/cities/san-francisco-ca/venues/basil-thai-restaurant-and-bar,location
93609,"Benihana - San Francisco, CA",San Francisco,Japanese,$$,3.96,57,+14153577533,37.78551776645014,-122.4291389612743,San Francisco,sf,8,False,Good for Groups,benihana-san-francisco-ca,https://resy.com/cities/san-francisco-ca/venues/benihana-san-francisco-ca,location
91985,bosque,San Francisco,Contemporary American,$$,4.76,251,+14155297005,37.776421894992986,-122.4265401327656,San Francisco,sf,6,False,,bosque,https://resy.com/cities/san-francisco-ca/venues/bosque,location
7501,Brenda's French Soul Food,Civic Center,Southern,$,4.76,4094,+14153458100,37.782905,-122.41887,San Francisco,sf,9,True,Women-Operated; Best of Brunch; Global Dining Access,brendas-french-soul-food,https://resy.com/cities/san-francisco-ca/venues/brendas-french-soul-food,location
92068,Elephant Sushi - Grove Street,Hayes Valley,Sushi,$,4.54,35,+14154004018,37.778179611031796,-122.42349278855455,San Francisco,sf,6,False,New on Resy,elephant-sushi-grove-street,https://resy.com/cities/san-francisco-ca/venues/elephant-sushi-grove-street,location
28462,Good Good Culture Club,The Mission,Asian,$$,4.62,5533,,37.7618143,-122.4229679,San Francisco,sf,20,True,Women-Operated; Critically Acclaimed; Staff Picks; Outdoor Dining; Where to Drink; Michelin Winners; Global Dining Access,good-good-culture-club,https://resy.com/cities/san-francisco-ca/venues/good-good-culture-club,location
97777,HK Lounge Bistro,SoMa,Chinese,$$,4.84,25,+14156688802,37.776415676906346,-122.40886951967887,San Francisco,sf,20,False,Book Tonight; New on Resy,hk-lounge-bistro,https://resy.com/cities/san-francisco-ca/venues/hk-lounge-bistro,location
339,Izakaya Rintaro,The Mission,Japanese,$$$,4.77,21079,+14155897022,37.768814,-122.415111,San Francisco,sf,8,True,Critically Acclaimed; Staff Picks; Cozy Locales; Date Night; Michelin Winners; Climbing; Global Dining Access,izakaya-rintaro,https://resy.com/cities/san-francisco-ca/venues/izakaya-rintaro,location
89679,Jilli - San Francisco,Mission,Contemporary Korean,$$,4.59,480,,37.766952769066876,-122.41781145066034,San Francisco,sf,6,False,Women-Operated; Climbing,jilli-san-francisco,https://resy.com/cities/san-francisco-ca/venues/jilli-san-francisco,location
74387,Jules,Lower Haight,Pizza,$$,4.74,580,,37.7717704,-122.4305996,San Francisco,sf,5,False,,jules,https://resy.com/cities/san-francisco-ca/venues/jules,location
984,Kin Khao,Union Square,Thai,$$,4.51,14618,+14153627456,37.784887,-122.409034,San Francisco,sf,10,True,Women-Operated; Critically Acclaimed; Staff Picks; Cozy Locales; Michelin Winners; Book Tonight; Climbing; Global Dining Access,kin-khao,https://resy.com/cities/san-francisco-ca/venues/kin-khao,location
77434,Kuma on Valencia,Mission,Sushi,$$,4.79,964,+14155208621,37.7701057,-122.4227029,San Francisco,sf,6,False,,kuma-on-valencia,https://resy.com/cities/san-francisco-ca/venues/kuma-on-valencia,location
77410,Kuma Sushi + Sake (Polk St),Lower Polk,Sushi,$$,4.84,1003,+14159627400,37.786462,-122.419774,San Francisco,sf,6,False,Top Rated,kuma-sushi-and-sake,https://resy.com/cities/san-francisco-ca/venues/kuma-sushi-and-sake,location
73310,Liholiho's Gen-Gen Room,Lower Nob Hill,Asian,$$$,5.0,90,,37.788181,-122.414581,San Francisco,sf,18,False,Women-Operated; Good for Groups; Top Rated,gen-gen,https://resy.com/cities/san-francisco-ca/venues/gen-gen,location
96866,Marrakech Moroccan Restaurant,San Francisco,Moroccan,$,4.52,21,+14157766717,37.78599779039432,-122.41187239090408,San Francisco,sf,30,False,New on Resy,marrakech-moroccan-restaurant,https://resy.com/cities/san-francisco-ca/venues/marrakech-moroccan-restaurant,location
6303,Mission Chinese Food SF,Mission District,Chinese,$$,4.33,606,+14158632800,37.7611847,-122.4196275,San Francisco,sf,8,False,Cozy Locales,mission-chinese-food-sf,https://resy.com/cities/san-francisco-ca/venues/mission-chinese-food-sf,location
6707,Nari,Japantown,Thai,$$,4.48,7193,+14158686274,37.785488,-122.42865,San Francisco,sf,6,True,Women-Operated; Critically Acclaimed; Tasting Menus Under $125; Date Night; Michelin Winners; Climbing; Global Dining Access,nari,https://resy.com/cities/san-francisco-ca/venues/nari,location
98078,Polenta Trattoria Friulana,Alamo Square,Italian,$$,4.84,194,+14158759404,37.77711961337913,-122.43158687535043,San Francisco,sf,8,False,Book Tonight; New on Resy,polenta-trattoria-friulana,https://resy.com/cities/san-francisco-ca/venues/polenta-trattoria-friulana,location
8486,Prubechu,Mission District,Chamorro,$$,4.73,3192,+14158530671,37.761319,-122.419733,San Francisco,sf,8,False,Critically Acclaimed; Best of Brunch; Outdoor Dining; Tasting Menus Under $125; Good for Groups; Seasonal Picks; Events,prubechu,https://resy.com/cities/san-francisco-ca/venues/prubechu,location
